"";"SA2_NAME16";"SA3_CODE16";"x"
"251";"Bourke - Brewarrina";"10501";54,5121891410226
"252";"Bowen";"31201";42,2234757102506
"253";"Bowral";"11402";28,9161267384579
"254";"Box Head - MacMasters Beach";"10201";29,1704664828947
"255";"Box Hill";"20703";49,0294112309563
"256";"Box Hill North";"20703";31,8660145418387
"257";"Boyne Island - Tannum Sands";"30805";43,1248359489415
"258";"Bracken Ridge";"30204";51,8395247889309
"259";"Bradbury - Wedderburn";"12302";43,4372511303133
"260";"Braddon";"80105";27,6902889771534
"261";"Braeside";"20803";43,6505295773904
"262";"Braidwood";"10102";59,6837656569147
"263";"Branxton - Greta - Pokolbin";"10601";30,1406977135155
"264";"Branyan - Kensington";"31901";30,6882774873003
"265";"Brassall";"31003";38,1433379503814
"266";"Bray Park";"31403";46,3258107071211
"267";"Braybrook";"21303";47,5523350575298
"268";"Bribie Island";"31301";44,3376622430848
"269";"Bridgeman Downs";"30201";28,5545347196141
"270";"Bridgetown - Boyup Brook";"50103";47,7143257992817
"271";"Bridgewater - Gagebrook";"60101";30,833838976106
"272";"Bright - Mount Beauty";"20403";55,8625542768631
"273";"Brighton - Pontville";"60101";43,0928256755238
"274";"Brighton (Qld)";"30204";32,6171293144501
"275";"Brighton (SA)";"40301";36,8714107551582
"276";"Brighton (Vic.)";"20801";39,0991053973561
"277";"Brighton East";"20801";52,1813643686662
"278";"Brinkin - Nakara";"70102";44,1815215509492
"279";"Brinsmead";"30601";45,0570822077676
"280";"Brisbane Airport";"30203";45,252005157321
"281";"Brisbane City";"30501";53,91
"282";"Brisbane Port - Lytton";"30103";50,0674322448273
"283";"Broadbeach Waters";"30901";53,6311544922919
"284";"Broadmeadows";"21005";51,1178824759409
"285";"Broadsound - Nebo";"31201";53,2799570763779
"286";"Broken Hill";"10502";42,9066246206934
"287";"Brookfield - Kenmore Hills";"30402";43,6061154076719
"288";"Brookton";"50903";49,7630693117395
"289";"Broome";"51001";37,179528512633
"290";"Broulee - Tomakin";"10104";29,5336965747137
"291";"Browns Plains";"31103";44,5287851949129
"292";"Bruce";"80101";32,5207496015232
"293";"Brunswick";"20601";48,9614108021466
"294";"Brunswick East";"20601";37,8936470738964
"295";"Brunswick Heads - Ocean Shores";"11201";40,7579377494989
"296";"Brunswick West";"20601";56,4093652618617
"297";"Bruny Island - Kettering";"60302";58,7895252984
"298";"Bruthen - Omeo";"20502";51,4008444581312
"299";"Buddina - Minyama";"31602";30,3273248274088
"300";"Buderim - North";"31601";42,9819599910006
"301";"Buderim - South";"31601";28,3643356277054
"302";"Budgewoi - Buff Point - Halekulani";"10202";53,0538846047766
"303";"Buffalo Creek";"70102";39,1592767332768
"304";"Bulahdelah - Stroud";"10801";30,2094379074693
"305";"Bulimba";"30502";27,4719369413048
"306";"Bull Creek";"50704";39,4572143715411
"307";"Bulleen";"20702";29,5136678580833
"308";"Bullsbrook";"50403";58,1406515740428
"309";"Buloke";"21503";44,3103901502606
"310";"Bundaberg";"31901";56,5540575228912
"311";"Bundaberg East - Kalkie";"31901";46,9350712959228
"312";"Bundaberg North - Gooburrum";"31901";53,1813200142711
"313";"Bundaberg Region - North";"31901";32,455929193986
"314";"Bundaberg Region - South";"31901";32,532479958616
"315";"Bundall";"30910";47,7847057338406
"316";"Bundamba";"31003";47,1431407157129
"317";"Bundoora - East";"20901";29,1683553950892
"318";"Bundoora - North";"20904";41,273841598837
"319";"Bundoora - West";"20904";30,2645421941782
"320";"Buninyong";"20101";48,1632658878066
"321";"Bunyip - Garfield";"21201";38,9163306796295
"322";"Burdekin";"31801";48,8031993764365
"323";"Burleigh Heads";"30901";33,1459948812495
"324";"Burleigh Waters";"30901";36,2021426165935
"325";"Burnie - Ulverstone Region";"60401";51,9613175553253
"326";"Burnie - Wivenhoe";"60401";27,0332206653656
"327";"Burnside";"21304";56,3229087047059
"328";"Burnside - Wattle Park";"40103";47,717388876389
"329";"Burnside Heights";"21304";33,043447794619
"330";"Burpengary";"31304";44,683011630608
"331";"Burpengary - East";"31302";57,5241840118327
"332";"Burrum - Fraser";"31905";55,4028981630987
"333";"Burwood";"20703";58,5923856852688
"334";"Burwood - Croydon";"12003";31,7334089958487
"335";"Burwood East";"20703";48,5652734940996
"336";"Busselton";"50101";33,48182772462
"337";"Busselton Region";"50101";36,0793821140163
"338";"Butler - Merriwa - Ridgewood";"50503";33,5045445209877
"339";"Byford";"50606";42,3294315041082
"340";"Byron Bay";"11201";62,98
"341";"Caboolture";"31302";39,5072745263918
"342";"Caboolture - South";"31302";55,9839705544619
"343";"Cabramatta - Lansvale";"12702";59,4649814941083
"344";"Cabramatta West - Mount Pritchard";"12702";59,2372793004863
"345";"Cairnlea";"21301";44,4751296085977
"346";"Cairns City";"30602";61,75
"347";"Calamvale - Stretton";"30305";59,2482506948021
